day,entry_ts,rule_name,structure,legs,entry_spot,entry_net_credit,exit_ts,exit_spot,exit_net_credit,exit_reason,pnl_per_lot,bars_held
2026-01-28,2026-01-28 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25050, 'option_type': 'PE', 'premium': 3.91, 'iv': 0.13}, {'action': 'BUY', 'strike': 24850, 'option_type': 'PE', 'premium': 0.14, 'iv': 0.13}, {'action': 'SELL', 'strike': 25600, 'option_type': 'CE', 'premium': 4.18, 'iv': 0.13}, {'action': 'BUY', 'strike': 25800, 'option_type': 'CE', 'premium': 0.17, 'iv': 0.13}]",25321.1,7.78,2026-01-28 13:40:00+05:30,25208.35,16.85,stop,-680.29,32
2026-02-03,2026-02-03 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25400, 'option_type': 'PE', 'premium': 5.25, 'iv': 0.13}, {'action': 'BUY', 'strike': 25200, 'option_type': 'PE', 'premium': 0.56, 'iv': 0.13}, {'action': 'SELL', 'strike': 26200, 'option_type': 'CE', 'premium': 6.01, 'iv': 0.13}, {'action': 'BUY', 'strike': 26400, 'option_type': 'CE', 'premium': 0.73, 'iv': 0.13}]",25794.0,9.97,2026-02-04 12:25:00+05:30,25748.0,2.45,target,564.15,92
2026-02-04,2026-02-04 12:30:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25450, 'option_type': 'PE', 'premium': 3.32, 'iv': 0.13}, {'action': 'BUY', 'strike': 25250, 'option_type': 'PE', 'premium': 0.11, 'iv': 0.13}, {'action': 'SELL', 'strike': 26000, 'option_type': 'CE', 'premium': 5.65, 'iv': 0.13}, {'action': 'BUY', 'strike': 26200, 'option_type': 'CE', 'premium': 0.27, 'iv': 0.13}]",25738.5,8.59,2026-02-05 09:15:00+05:30,25727.35,0.05,target,640.3,36
2026-02-10,2026-02-10 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25550, 'option_type': 'PE', 'premium': 4.43, 'iv': 0.13}, {'action': 'BUY', 'strike': 25350, 'option_type': 'PE', 'premium': 0.46, 'iv': 0.13}, {'action': 'SELL', 'strike': 26350, 'option_type': 'CE', 'premium': 7.47, 'iv': 0.13}, {'action': 'BUY', 'strike': 26550, 'option_type': 'CE', 'premium': 0.98, 'iv': 0.13}]",25964.6,10.46,2026-02-11 11:05:00+05:30,25942.55,2.52,target,595.72,76
2026-02-11,2026-02-11 11:10:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25650, 'option_type': 'PE', 'premium': 2.67, 'iv': 0.13}, {'action': 'BUY', 'strike': 25500, 'option_type': 'PE', 'premium': 0.23, 'iv': 0.13}, {'action': 'SELL', 'strike': 26250, 'option_type': 'CE', 'premium': 3.9, 'iv': 0.13}, {'action': 'BUY', 'strike': 26450, 'option_type': 'CE', 'premium': 0.17, 'iv': 0.13}]",25956.95,6.17,2026-02-12 09:15:00+05:30,25855.25,0.32,target,438.84,52
2026-02-17,2026-02-17 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25300, 'option_type': 'PE', 'premium': 6.68, 'iv': 0.13}, {'action': 'BUY', 'strike': 25100, 'option_type': 'PE', 'premium': 0.76, 'iv': 0.13}, {'action': 'SELL', 'strike': 26050, 'option_type': 'CE', 'premium': 7.22, 'iv': 0.13}, {'action': 'BUY', 'strike': 26250, 'option_type': 'CE', 'premium': 0.92, 'iv': 0.13}]",25666.55,12.22,2026-02-18 13:50:00+05:30,25700.0,2.69,target,714.54,109
2026-02-18,2026-02-18 13:55:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25450, 'option_type': 'PE', 'premium': 4.03, 'iv': 0.13}, {'action': 'BUY', 'strike': 25250, 'option_type': 'PE', 'premium': 0.15, 'iv': 0.13}, {'action': 'SELL', 'strike': 26000, 'option_type': 'CE', 'premium': 4.7, 'iv': 0.13}, {'action': 'BUY', 'strike': 26200, 'option_type': 'CE', 'premium': 0.21, 'iv': 0.13}]",25724.3,8.37,2026-02-19 09:15:00+05:30,25853.9,2.04,target,474.39,19
2026-02-24,2026-02-24 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25100, 'option_type': 'PE', 'premium': 5.43, 'iv': 0.13}, {'action': 'BUY', 'strike': 24900, 'option_type': 'PE', 'premium': 0.57, 'iv': 0.13}, {'action': 'SELL', 'strike': 25850, 'option_type': 'CE', 'premium': 8.25, 'iv': 0.13}, {'action': 'BUY', 'strike': 26050, 'option_type': 'CE', 'premium': 1.07, 'iv': 0.13}]",25484.65,12.04,2026-02-25 12:45:00+05:30,25467.85,2.64,target,705.28,96
2026-02-25,2026-02-25 12:50:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25200, 'option_type': 'PE', 'premium': 3.55, 'iv': 0.13}, {'action': 'BUY', 'strike': 25000, 'option_type': 'PE', 'premium': 0.12, 'iv': 0.13}, {'action': 'SELL', 'strike': 25750, 'option_type': 'CE', 'premium': 4.85, 'iv': 0.13}, {'action': 'BUY', 'strike': 25950, 'option_type': 'CE', 'premium': 0.21, 'iv': 0.13}]",25480.1,8.07,2026-02-26 09:15:00+05:30,25535.1,0.24,target,586.99,32
2026-03-04,2026-03-04 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 24150, 'option_type': 'PE', 'premium': 3.29, 'iv': 0.13}, {'action': 'BUY', 'strike': 24000, 'option_type': 'PE', 'premium': 0.26, 'iv': 0.13}, {'action': 'SELL', 'strike': 24700, 'option_type': 'CE', 'premium': 3.49, 'iv': 0.13}, {'action': 'BUY', 'strike': 24900, 'option_type': 'CE', 'premium': 0.12, 'iv': 0.13}]",24420.7,6.4,2026-03-04 14:10:00+05:30,24554.95,18.97,stop,-942.85,38
2026-03-10,2026-03-10 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 23850, 'option_type': 'PE', 'premium': 5.87, 'iv': 0.13}, {'action': 'BUY', 'strike': 23650, 'option_type': 'PE', 'premium': 0.56, 'iv': 0.13}, {'action': 'SELL', 'strike': 24550, 'option_type': 'CE', 'premium': 7.8, 'iv': 0.13}, {'action': 'BUY', 'strike': 24750, 'option_type': 'CE', 'premium': 0.9, 'iv': 0.13}]",24202.65,12.21,2026-03-11 13:10:00+05:30,23929.65,30.66,stop,-1383.54,101
