day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-04-24,2026-04-24 10:45:00+05:30,bearish,PE,23900,23920.2,139.28,390.58,23967.8,299.03,2026-04-24 12:15:00+05:30,23931.05,133.76,timeout,-414.3,18
2026-04-27,2026-04-27 12:25:00+05:30,bullish,CE,24050,24059.0,179.79,524.29,23977.3,432.67,2026-04-27 13:55:00+05:30,24114.25,210.04,timeout,2268.59,18
2026-04-28,2026-04-28 09:45:00+05:30,bullish,CE,24100,24120.8,188.28,535.08,24012.2,418.72,2026-04-28 11:15:00+05:30,24127.0,190.74,timeout,184.91,18
2026-05-05,2026-05-05 11:55:00+05:30,bearish,PE,23900,23888.95,153.32,407.92,23959.1,261.83,2026-05-05 12:20:00+05:30,23967.25,121.75,stop,-2367.29,5
2026-05-07,2026-05-07 12:05:00+05:30,bullish,CE,24350,24360.25,182.86,521.76,24288.6,363.24,2026-05-07 13:35:00+05:30,24334.75,168.46,timeout,-1080.37,18
2026-05-08,2026-05-08 12:35:00+05:30,bearish,PE,24150,24171.55,139.37,397.87,24198.5,255.94,2026-05-08 13:30:00+05:30,24184.4,127.18,stop,-914.87,11
2026-05-12,2026-05-12 12:35:00+05:30,bearish,PE,23500,23516.2,137.78,389.18,23597.8,209.57,2026-05-12 14:05:00+05:30,23465.0,161.7,timeout,1793.98,18
2026-05-13,2026-05-13 12:50:00+05:30,bullish,CE,23550,23526.85,159.11,469.61,23423.3,264.65,2026-05-13 14:20:00+05:30,23510.55,150.06,timeout,-678.46,18
2026-05-14,2026-05-14 10:15:00+05:30,bullish,CE,23500,23513.7,179.68,501.28,23457.9,298.42,2026-05-14 10:45:00+05:30,23437.2,150.63,stop,-2179.16,6
2026-05-15,2026-05-15 10:45:00+05:30,bullish,CE,23850,23827.0,162.67,484.87,23801.0,289.73,2026-05-15 11:00:00+05:30,23782.35,149.68,stop,-974.61,3
2026-05-19,2026-05-19 10:10:00+05:30,bullish,CE,23750,23753.45,176.06,504.06,23678.2,236.62,2026-05-19 11:40:00+05:30,23750.05,173.3,timeout,-206.35,18
2026-05-20,2026-05-20 12:15:00+05:30,bearish,PE,23600,23583.55,153.93,423.33,23634.4,190.06,2026-05-20 13:45:00+05:30,23597.3,146.64,timeout,-546.59,18
2026-05-22,2026-05-22 10:40:00+05:30,bullish,CE,23800,23792.7,170.44,477.54,23761.3,220.25,2026-05-22 11:20:00+05:30,23785.0,154.11,stop,-1224.35,8
2026-05-26,2026-05-26 09:45:00+05:30,bullish,CE,24050,24051.75,177.62,497.62,23972.2,152.86,2026-05-26 11:15:00+05:30,24067.8,185.31,timeout,576.89,18
