day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-01-28,2026-01-28 11:05:00+05:30,bullish,CE,25100,25321.15,322.64,451.7,,241.98,2026-01-28 13:45:00+05:30,25198.8,233.9,stop,-6655.19,32
2026-01-29,2026-01-29 09:50:00+05:30,bearish,PE,25400,25180.7,283.59,397.02,,212.69,2026-01-29 11:20:00+05:30,25287.5,211.1,stop,-5436.57,18
2026-01-30,2026-01-30 09:45:00+05:30,bearish,PE,25500,25305.55,267.82,374.95,,200.87,2026-01-30 13:45:00+05:30,25299.2,270.31,timeout,186.69,48
2026-02-01,2026-02-01 10:15:00+05:30,bullish,CE,25150,25347.15,306.37,428.92,,229.78,2026-02-01 12:10:00+05:30,25223.55,212.75,stop,-7021.61,23
2026-02-02,2026-02-02 09:45:00+05:30,bearish,PE,25100,24893.7,273.35,382.7,,205.02,2026-02-02 11:00:00+05:30,24749.75,382.7,target,8200.63,15
2026-02-03,2026-02-03 10:45:00+05:30,bullish,CE,25550,25763.7,320.43,448.6,,240.32,2026-02-03 14:45:00+05:30,25762.0,316.67,timeout,-281.93,48
2026-02-04,2026-02-04 09:45:00+05:30,bullish,CE,25600,25786.45,302.25,423.15,,226.69,2026-02-04 13:45:00+05:30,25764.4,284.56,timeout,-1326.3,48
2026-02-05,2026-02-05 11:50:00+05:30,bearish,PE,25850,25638.35,280.14,392.19,,210.1,2026-02-05 15:15:00+05:30,25629.25,284.8,eod,349.72,41
2026-02-06,2026-02-06 09:45:00+05:30,bearish,PE,25750,25569.0,260.62,364.86,,195.46,2026-02-06 13:45:00+05:30,25588.75,246.52,timeout,-1057.27,48
2026-02-09,2026-02-09 10:10:00+05:30,bullish,CE,25600,25801.6,312.55,437.58,,234.42,2026-02-09 14:10:00+05:30,25844.4,340.91,timeout,2126.83,48
2026-02-10,2026-02-10 09:45:00+05:30,bullish,CE,25750,25948.2,311.44,436.01,,233.58,2026-02-10 13:45:00+05:30,25921.9,290.66,timeout,-1557.99,48
2026-02-11,2026-02-11 10:10:00+05:30,bearish,PE,26100,25917.9,263.12,368.37,,197.34,2026-02-11 14:10:00+05:30,25956.2,237.7,timeout,-1906.46,48
2026-02-12,2026-02-12 11:40:00+05:30,bearish,PE,26050,25828.4,287.89,403.05,,215.92,2026-02-12 15:15:00+05:30,25810.55,298.52,eod,797.1,43
2026-02-13,2026-02-13 09:50:00+05:30,bearish,PE,25750,25553.65,270.41,378.57,,202.81,2026-02-13 13:50:00+05:30,25517.15,293.01,timeout,1695.4,48
2026-02-16,2026-02-16 09:45:00+05:30,bearish,PE,25650,25455.05,268.98,376.57,,201.74,2026-02-16 12:15:00+05:30,25561.25,201.7,stop,-5046.14,30
2026-02-17,2026-02-17 09:45:00+05:30,bullish,CE,25450,25641.55,304.78,426.69,,228.58,2026-02-17 13:45:00+05:30,25735.15,370.99,timeout,4966.08,48
2026-02-18,2026-02-18 09:45:00+05:30,bullish,CE,25500,25720.45,325.57,455.8,,244.18,2026-02-18 13:45:00+05:30,25735.5,333.99,timeout,631.67,48
2026-02-19,2026-02-19 09:45:00+05:30,bullish,CE,25600,25809.25,318.23,445.52,,238.67,2026-02-19 11:20:00+05:30,25683.25,232.11,stop,-6458.64,19
2026-02-20,2026-02-20 09:45:00+05:30,bearish,PE,25700,25507.9,267.42,374.39,,200.57,2026-02-20 11:45:00+05:30,25592.4,199.51,stop,-5093.48,24
2026-02-23,2026-02-23 09:45:00+05:30,bullish,CE,25550,25740.6,304.79,426.7,,228.59,2026-02-23 13:45:00+05:30,25653.0,244.35,timeout,-4532.9,48
2026-02-24,2026-02-24 11:50:00+05:30,bearish,PE,25700,25488.85,278.99,390.59,,209.24,2026-02-24 13:35:00+05:30,25377.85,390.59,target,8369.75,21
2026-02-25,2026-02-25 11:50:00+05:30,bullish,CE,25400,25607.45,314.31,440.03,,235.73,2026-02-25 12:45:00+05:30,25467.85,222.58,stop,-6879.24,11
2026-02-26,2026-02-26 09:45:00+05:30,bullish,CE,25350,25557.2,315.11,441.16,,236.34,2026-02-26 12:15:00+05:30,25447.4,235.58,stop,-5964.87,30
2026-02-27,2026-02-27 11:45:00+05:30,bearish,PE,25500,25302.0,269.3,377.03,,201.98,2026-02-27 15:05:00+05:30,25168.2,377.03,target,8079.14,40
2026-03-02,2026-03-02 09:55:00+05:30,bearish,PE,25150,24945.1,272.64,381.7,,204.48,2026-03-02 11:55:00+05:30,24784.0,381.7,target,8179.18,24
2026-03-04,2026-03-04 11:40:00+05:30,bearish,PE,24550,24362.2,257.47,360.46,,193.1,2026-03-04 13:25:00+05:30,24451.6,188.09,stop,-5203.87,21
2026-03-05,2026-03-05 10:30:00+05:30,bullish,CE,24350,24559.6,309.79,433.7,,232.34,2026-03-05 14:30:00+05:30,24582.5,324.09,timeout,1073.05,48
2026-03-06,2026-03-06 10:45:00+05:30,bearish,PE,24800,24586.5,276.12,386.57,,207.09,2026-03-06 14:45:00+05:30,24488.8,344.25,timeout,5109.52,48
2026-03-09,2026-03-09 10:40:00+05:30,bearish,PE,24000,23783.4,273.97,383.56,,205.48,2026-03-09 10:55:00+05:30,23862.35,203.39,stop,-5293.31,3
2026-03-10,2026-03-10 11:15:00+05:30,bullish,CE,24000,24210.25,307.53,430.54,,230.65,2026-03-10 15:15:00+05:30,24274.25,353.14,eod,3421.05,48
2026-03-11,2026-03-11 09:45:00+05:30,bullish,CE,24000,24198.8,300.21,420.29,,225.15,2026-03-11 10:35:00+05:30,24085.55,224.2,stop,-5700.85,10
2026-03-12,2026-03-12 09:50:00+05:30,bearish,PE,23850,23656.75,257.88,361.03,,193.41,2026-03-12 11:00:00+05:30,23768.75,189.67,stop,-5115.93,14
2026-03-13,2026-03-13 10:25:00+05:30,bearish,PE,23550,23353.45,258.2,361.49,,193.65,2026-03-13 12:40:00+05:30,23212.4,361.49,target,7746.15,27
2026-03-16,2026-03-16 09:45:00+05:30,bearish,PE,23450,23241.0,266.23,372.73,,199.68,2026-03-16 10:20:00+05:30,23056.7,372.73,target,7987.04,7
2026-03-17,2026-03-17 10:30:00+05:30,bullish,CE,23250,23467.85,308.66,432.12,,231.49,2026-03-17 11:35:00+05:30,23390.45,231.2,stop,-5809.04,13
2026-03-18,2026-03-18 09:45:00+05:30,bullish,CE,23550,23732.2,285.48,399.68,,214.11,2026-03-18 13:45:00+05:30,23829.45,355.38,timeout,5242.41,48
2026-03-19,2026-03-19 11:40:00+05:30,bearish,PE,23450,23241.65,265.11,371.15,,198.83,2026-03-19 14:10:00+05:30,23111.3,371.15,target,7953.3,30
2026-03-20,2026-03-20 09:45:00+05:30,bearish,PE,23450,23246.9,262.27,367.18,,196.7,2026-03-20 13:45:00+05:30,23206.45,288.75,timeout,1986.23,48
2026-03-23,2026-03-23 10:55:00+05:30,bearish,PE,22750,22531.85,268.39,375.75,,201.29,2026-03-23 14:00:00+05:30,22644.75,189.25,stop,-5935.21,37
2026-03-24,2026-03-24 11:50:00+05:30,bullish,CE,22600,22785.55,280.35,392.49,,210.26,2026-03-24 12:25:00+05:30,22844.45,392.49,target,8410.45,7
2026-03-25,2026-03-25 10:20:00+05:30,bullish,CE,23100,23292.2,289.22,404.91,,216.92,2026-03-25 12:15:00+05:30,23441.4,404.91,target,8676.72,23
2026-03-27,2026-03-27 11:40:00+05:30,bearish,PE,23150,22950.55,257.53,360.54,,193.14,2026-03-27 15:15:00+05:30,22820.35,360.54,target,7725.76,43
2026-03-30,2026-03-30 09:45:00+05:30,bearish,PE,22850,22630.45,270.27,378.37,,202.7,2026-03-30 10:55:00+05:30,22490.2,378.37,target,8107.97,14
2026-04-01,2026-04-01 11:50:00+05:30,bullish,CE,22550,22745.6,287.22,402.11,,215.41,2026-04-01 13:15:00+05:30,22843.0,402.11,target,8616.58,17
2026-04-02,2026-04-02 10:35:00+05:30,bearish,PE,22400,22221.35,240.07,336.09,,180.05,2026-04-02 12:30:00+05:30,22316.55,179.87,stop,-4514.92,23
2026-04-06,2026-04-06 09:45:00+05:30,bullish,CE,22400,22589.9,283.3,396.62,,212.48,2026-04-06 12:45:00+05:30,22757.0,396.62,target,8499.02,36
2026-04-07,2026-04-07 09:45:00+05:30,bullish,CE,22600,22818.25,305.22,427.3,,228.91,2026-04-07 11:55:00+05:30,22984.7,427.3,target,9156.51,26
2026-04-08,2026-04-08 11:20:00+05:30,bullish,CE,23800,24001.85,300.13,420.19,,225.1,2026-04-08 15:15:00+05:30,23993.0,291.49,eod,-648.26,47
2026-04-09,2026-04-09 10:00:00+05:30,bearish,PE,24000,23817.4,251.7,352.39,,188.78,2026-04-09 14:00:00+05:30,23781.8,273.84,timeout,1660.11,48
2026-04-10,2026-04-10 11:55:00+05:30,bullish,CE,23800,23994.7,294.69,412.56,,221.01,2026-04-10 15:15:00+05:30,24053.65,336.14,eod,3109.28,40
2026-04-13,2026-04-13 11:40:00+05:30,bearish,PE,23950,23756.15,258.13,361.38,,193.6,2026-04-13 13:50:00+05:30,23883.7,180.89,stop,-5793.09,26
2026-04-15,2026-04-15 10:25:00+05:30,bullish,CE,24050,24260.1,308.24,431.53,,231.18,2026-04-15 14:25:00+05:30,24233.35,286.81,timeout,-1606.73,48
2026-04-16,2026-04-16 09:45:00+05:30,bullish,CE,24150,24327.9,286.52,401.13,,214.89,2026-04-16 11:45:00+05:30,24243.6,212.92,stop,-5520.35,24
2026-04-17,2026-04-17 12:00:00+05:30,bullish,CE,24050,24261.35,308.2,431.48,,231.15,2026-04-17 15:15:00+05:30,24361.75,382.97,eod,5607.54,39
2026-04-20,2026-04-20 09:45:00+05:30,bullish,CE,24100,24296.55,299.27,418.98,,224.45,2026-04-20 11:20:00+05:30,24455.15,418.98,target,8978.08,19
