day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-02-25,2026-02-25 12:55:00+05:30,bearish,PE,25450,25472.2,146.94,166.24,25579.1,431.07,2026-02-25 13:25:00+05:30,25460.3,166.24,target,1447.5,6
2026-02-26,2026-02-26 09:45:00+05:30,bullish,CE,25550,25557.2,191.55,222.85,25473.6,867.45,2026-02-26 11:15:00+05:30,25534.45,178.57,timeout,-972.81,18
2026-03-06,2026-03-06 10:45:00+05:30,bearish,PE,24600,24586.5,159.38,180.68,24674.8,420.64,2026-03-06 12:15:00+05:30,24610.0,147.57,timeout,-885.64,18
2026-03-11,2026-03-11 10:05:00+05:30,bearish,PE,24100,24117.05,142.26,172.56,24218.5,387.03,2026-03-11 10:45:00+05:30,24087.6,172.56,target,2272.5,8
2026-03-20,2026-03-20 12:25:00+05:30,bearish,PE,23150,23155.15,140.78,164.38,23293.0,344.96,2026-03-20 13:55:00+05:30,23193.45,123.02,timeout,-1331.91,18
2026-04-09,2026-04-09 10:00:00+05:30,bearish,PE,23800,23817.4,140.27,177.97,23974.1,300.67,2026-04-09 11:30:00+05:30,23855.3,123.1,timeout,-1287.77,18
2026-04-16,2026-04-16 12:05:00+05:30,bearish,PE,24150,24171.1,139.81,163.11,24276.5,304.13,2026-04-16 12:55:00+05:30,24144.55,163.11,target,1747.5,10
2026-04-17,2026-04-17 09:45:00+05:30,bullish,CE,24200,24219.9,188.52,238.82,24117.1,504.23,2026-04-17 11:15:00+05:30,24277.3,220.62,timeout,2407.85,18
2026-04-28,2026-04-28 11:55:00+05:30,bearish,PE,24050,24056.0,146.18,164.88,24123.5,284.88,2026-04-28 12:20:00+05:30,24017.45,164.88,target,1402.5,5
2026-04-29,2026-04-29 09:45:00+05:30,bullish,CE,24150,24164.95,185.45,224.75,23989.3,374.23,2026-04-29 10:10:00+05:30,24233.8,224.75,target,2947.5,5
2026-05-04,2026-05-04 13:05:00+05:30,bearish,PE,24100,24113.9,142.3,168.1,24154.8,269.92,2026-05-04 13:20:00+05:30,24070.75,168.1,target,1935.0,3
2026-05-06,2026-05-06 12:35:00+05:30,bearish,PE,24050,24036.65,155.05,172.95,24103.5,261.56,2026-05-06 12:50:00+05:30,24011.6,172.95,target,1342.5,3
2026-05-13,2026-05-13 12:10:00+05:30,bullish,CE,23500,23512.75,177.97,206.87,23454.6,305.27,2026-05-13 12:35:00+05:30,23465.25,147.9,stop,-2255.63,5
2026-05-14,2026-05-14 10:55:00+05:30,bearish,PE,23450,23430.45,155.11,187.01,23579.8,186.72,2026-05-14 11:30:00+05:30,23604.65,92.66,stop,-4684.0,7
2026-05-18,2026-05-18 12:45:00+05:30,bullish,CE,23600,23578.75,160.48,188.48,23491.1,226.06,2026-05-18 12:55:00+05:30,23636.9,188.48,target,2100.0,2
2026-05-20,2026-05-20 13:05:00+05:30,bullish,CE,23600,23601.95,172.33,190.23,23577.8,248.26,2026-05-20 13:20:00+05:30,23583.25,159.64,stop,-951.7,3
2026-05-21,2026-05-21 12:35:00+05:30,bearish,PE,23650,23632.35,154.67,178.07,23718.5,168.89,2026-05-21 14:05:00+05:30,23642.7,148.98,timeout,-426.48,18
2026-05-26,2026-05-26 12:50:00+05:30,bearish,PE,24000,23997.5,149.43,166.73,24028.1,146.07,2026-05-26 13:15:00+05:30,23982.1,166.73,target,1297.5,5
