day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-02-26,2026-02-26 09:50:00+05:30,bearish,PE,25500,25510.6,154.05,174.85,25549.4,461.35,2026-02-26 10:05:00+05:30,25563.3,136.73,stop,-1298.69,3
2026-03-05,2026-03-05 10:10:00+05:30,bearish,PE,24600,24596.25,154.99,193.79,24667.2,426.79,2026-03-05 10:55:00+05:30,24666.55,123.38,stop,-2370.83,9
2026-03-06,2026-03-06 09:45:00+05:30,bullish,CE,24650,24657.9,185.31,220.01,24617.4,820.64,2026-03-06 10:00:00+05:30,24635.0,164.18,stop,-1584.63,3
2026-03-10,2026-03-10 09:45:00+05:30,bearish,PE,24150,24136.65,156.97,233.17,24274.2,389.35,2026-03-10 11:15:00+05:30,24210.25,123.31,timeout,-2524.72,18
2026-03-12,2026-03-12 09:50:00+05:30,bullish,CE,23650,23656.75,177.29,251.09,23570.1,724.18,2026-03-12 11:20:00+05:30,23703.5,202.49,timeout,1889.72,18
2026-03-17,2026-03-17 11:20:00+05:30,bearish,PE,23400,23412.65,139.35,177.25,23481.5,379.35,2026-03-17 12:45:00+05:30,23488.15,109.53,stop,-2236.03,17
2026-03-18,2026-03-18 10:00:00+05:30,bearish,PE,23650,23657.05,144.08,164.58,23694.1,396.22,2026-03-18 10:15:00+05:30,23707.35,127.47,stop,-1246.02,3
2026-03-30,2026-03-30 09:45:00+05:30,bullish,CE,22650,22630.45,156.25,275.65,22485.5,541.99,2026-03-30 10:55:00+05:30,22490.2,92.63,stop,-4771.34,14
2026-04-06,2026-04-06 09:45:00+05:30,bearish,PE,22600,22589.9,145.74,168.84,22629.7,346.34,2026-04-06 10:05:00+05:30,22614.95,127.27,stop,-1385.21,4
2026-04-07,2026-04-07 09:45:00+05:30,bullish,CE,22800,22818.25,177.34,227.64,22757.9,566.05,2026-04-07 10:00:00+05:30,22913.9,227.64,target,3772.5,3
2026-04-15,2026-04-15 09:45:00+05:30,bearish,PE,24200,24193.1,154.19,255.59,24365.5,296.4,2026-04-15 11:15:00+05:30,24186.2,156.81,timeout,196.89,18
2026-04-16,2026-04-16 09:45:00+05:30,bearish,PE,24350,24327.9,162.49,214.19,24414.6,334.16,2026-04-16 11:15:00+05:30,24319.8,165.81,timeout,249.35,18
2026-04-23,2026-04-23 09:45:00+05:30,bullish,CE,24250,24271.65,189.85,257.35,24189.0,481.41,2026-04-23 10:45:00+05:30,24205.65,147.03,stop,-3211.06,12
2026-05-06,2026-05-06 09:45:00+05:30,bearish,PE,24150,24136.9,156.85,193.75,24196.3,270.48,2026-05-06 11:15:00+05:30,24087.05,181.48,timeout,1847.01,18
2026-05-08,2026-05-08 10:10:00+05:30,bullish,CE,24200,24211.3,183.57,224.27,24159.9,372.91,2026-05-08 11:40:00+05:30,24199.45,176.27,timeout,-547.38,18
2026-05-11,2026-05-11 11:40:00+05:30,bullish,CE,23950,23949.4,174.42,256.12,23844.6,308.11,2026-05-11 13:10:00+05:30,23949.8,173.67,timeout,-55.95,18
2026-05-14,2026-05-14 09:45:00+05:30,bearish,PE,23500,23492.65,150.04,182.14,23543.4,227.28,2026-05-14 10:50:00+05:30,23473.0,182.14,target,2407.5,13
2026-05-18,2026-05-18 10:35:00+05:30,bullish,CE,23450,23429.0,160.87,227.17,23340.4,234.83,2026-05-18 11:35:00+05:30,23560.65,227.17,target,4972.5,12
2026-05-20,2026-05-20 09:45:00+05:30,bullish,CE,23500,23522.25,184.68,242.98,23447.8,243.81,2026-05-20 11:15:00+05:30,23564.95,208.19,timeout,1763.53,18
2026-05-21,2026-05-21 09:45:00+05:30,bearish,PE,23800,23785.55,155.32,209.52,23868.5,178.09,2026-05-21 11:15:00+05:30,23678.65,209.52,target,4065.0,18
2026-05-25,2026-05-25 09:45:00+05:30,bearish,PE,23950,23937.85,155.15,218.65,24033.5,142.39,2026-05-25 11:15:00+05:30,23979.3,135.3,timeout,-1488.5,18
