day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-01-30,2026-01-30 09:45:00+05:30,bullish,CE,25300,25305.55,188.83,243.83,25218.3,1014.98,2026-01-30 12:45:00+05:30,25293.0,180.18,timeout,-648.77,36
2026-02-09,2026-02-09 09:45:00+05:30,bearish,PE,25800,25812.0,155.31,195.51,25919.6,466.36,2026-02-09 12:45:00+05:30,25832.9,144.42,timeout,-817.32,36
2026-02-11,2026-02-11 09:45:00+05:30,bearish,PE,25950,25929.85,171.49,186.89,25970.2,502.63,2026-02-11 10:30:00+05:30,25964.2,152.14,stop,-1451.9,9
2026-02-13,2026-02-13 09:45:00+05:30,bullish,CE,25550,25544.25,184.68,254.48,25431.8,924.31,2026-02-13 12:45:00+05:30,25571.6,197.32,timeout,947.84,36
2026-02-23,2026-02-23 09:45:00+05:30,bearish,PE,25750,25740.6,165.05,186.75,25796.8,471.66,2026-02-23 10:25:00+05:30,25706.45,186.75,target,1627.5,8
2026-02-26,2026-02-26 09:45:00+05:30,bearish,PE,25550,25557.2,155.97,170.87,25596.0,463.57,2026-02-26 09:50:00+05:30,25510.6,170.87,target,1117.5,1
2026-03-05,2026-03-05 09:45:00+05:30,bearish,PE,24600,24604.95,151.09,178.69,24676.0,423.58,2026-03-05 10:25:00+05:30,24564.55,178.69,target,2070.0,8
2026-03-06,2026-03-06 09:45:00+05:30,bullish,CE,24650,24657.9,185.31,210.11,24617.4,820.64,2026-03-06 10:00:00+05:30,24635.0,164.18,stop,-1584.63,3
2026-03-10,2026-03-10 09:45:00+05:30,bearish,PE,24150,24136.65,156.97,211.37,24274.2,389.35,2026-03-10 12:45:00+05:30,24184.5,133.55,timeout,-1756.47,36
2026-03-12,2026-03-12 09:45:00+05:30,bullish,CE,23600,23623.15,185.91,239.01,23536.5,732.2,2026-03-12 10:35:00+05:30,23712.95,239.01,target,3982.5,10
