day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-01-30,2026-01-30 09:45:00+05:30,bullish,CE,25300,25305.55,188.83,243.83,25235.7,1025.71,2026-01-30 11:30:00+05:30,25245.85,152.6,stop,-2717.25,21
2026-02-09,2026-02-09 09:45:00+05:30,bearish,PE,25800,25812.0,155.31,195.51,25898.0,473.98,2026-02-09 12:45:00+05:30,25832.9,144.42,timeout,-817.32,36
2026-02-11,2026-02-11 09:45:00+05:30,bearish,PE,25950,25929.85,171.49,186.89,25962.1,505.65,2026-02-11 10:20:00+05:30,25961.65,155.91,stop,-1168.64,7
2026-02-23,2026-02-23 10:35:00+05:30,bearish,PE,25700,25689.6,164.81,186.51,25734.6,475.25,2026-02-23 11:45:00+05:30,25648.7,186.51,target,1627.5,14
2026-02-26,2026-02-26 09:50:00+05:30,bearish,PE,25500,25510.6,154.05,168.95,25541.7,464.27,2026-02-26 10:00:00+05:30,25543.8,140.07,stop,-1047.89,2
2026-03-05,2026-03-05 10:10:00+05:30,bearish,PE,24600,24596.25,154.99,182.69,24653.0,432.11,2026-03-05 10:25:00+05:30,24564.55,182.69,target,2077.5,3
2026-03-06,2026-03-06 09:45:00+05:30,bullish,CE,24650,24657.9,185.31,210.11,24625.5,825.53,2026-03-06 09:55:00+05:30,24625.15,168.3,stop,-1275.47,2
2026-03-10,2026-03-10 09:45:00+05:30,bearish,PE,24150,24136.65,156.97,211.37,24246.7,399.39,2026-03-10 11:30:00+05:30,24244.65,108.78,stop,-3614.25,21
2026-03-12,2026-03-12 09:50:00+05:30,bullish,CE,23650,23656.75,177.29,229.99,23587.4,734.36,2026-03-12 11:00:00+05:30,23768.75,229.99,target,3952.5,14
2026-03-17,2026-03-17 11:20:00+05:30,bearish,PE,23400,23412.65,139.35,166.45,23467.7,384.54,2026-03-17 11:35:00+05:30,23390.45,166.45,target,2032.5,3
2026-03-18,2026-03-18 10:00:00+05:30,bearish,PE,23650,23657.05,144.08,158.78,23686.7,399.09,2026-03-18 10:15:00+05:30,23707.35,130.66,stop,-1006.92,3
2026-03-30,2026-03-30 09:45:00+05:30,bullish,CE,22650,22630.45,156.25,241.55,22514.5,557.85,2026-03-30 10:40:00+05:30,22514.55,103.65,stop,-3945.42,11
2026-04-06,2026-04-06 09:45:00+05:30,bearish,PE,22600,22589.9,145.74,162.24,22621.7,349.54,2026-04-06 10:05:00+05:30,22614.95,130.83,stop,-1118.79,4
2026-04-07,2026-04-07 09:45:00+05:30,bullish,CE,22800,22818.25,177.34,213.24,22770.0,573.02,2026-04-07 09:55:00+05:30,22886.15,213.24,target,2692.5,2
2026-04-15,2026-04-15 09:45:00+05:30,bearish,PE,24200,24193.1,154.19,226.69,24331.1,309.11,2026-04-15 12:45:00+05:30,24216.6,141.84,timeout,-925.67,36
2026-04-16,2026-04-16 09:45:00+05:30,bearish,PE,24350,24327.9,162.49,199.39,24397.2,341.09,2026-04-16 11:40:00+05:30,24254.7,199.39,target,2767.5,23
2026-04-23,2026-04-23 09:45:00+05:30,bullish,CE,24250,24271.65,189.85,238.05,24205.5,490.6,2026-04-23 10:45:00+05:30,24205.65,154.92,stop,-2619.41,12
2026-05-06,2026-05-06 09:45:00+05:30,bearish,PE,24150,24136.9,156.85,183.25,24184.4,275.47,2026-05-06 11:00:00+05:30,24074.45,183.25,target,1980.0,15
2026-05-08,2026-05-08 10:10:00+05:30,bullish,CE,24200,24211.3,183.57,212.67,24170.2,378.5,2026-05-08 12:15:00+05:30,24188.6,160.85,stop,-1703.96,25
2026-05-11,2026-05-11 11:40:00+05:30,bullish,CE,23950,23949.4,174.42,232.72,23865.5,318.77,2026-05-11 14:40:00+05:30,23916.35,155.58,timeout,-1412.83,36
2026-05-14,2026-05-14 09:45:00+05:30,bearish,PE,23500,23492.65,150.04,172.94,23533.3,231.61,2026-05-14 09:55:00+05:30,23464.45,172.94,target,1717.5,2
2026-05-18,2026-05-18 10:35:00+05:30,bullish,CE,23450,23429.0,160.87,208.17,23358.1,243.42,2026-05-18 11:20:00+05:30,23516.2,208.17,target,3547.5,9
2026-05-20,2026-05-20 09:45:00+05:30,bullish,CE,23500,23522.25,184.68,226.28,23462.7,251.48,2026-05-20 11:20:00+05:30,23582.05,226.28,target,3120.0,19
2026-05-21,2026-05-21 09:45:00+05:30,bearish,PE,23800,23785.55,155.32,194.02,23851.9,185.01,2026-05-21 11:00:00+05:30,23713.4,194.02,target,2902.5,15
2026-05-25,2026-05-25 09:45:00+05:30,bearish,PE,23950,23937.85,155.15,200.55,24014.4,150.15,2026-05-25 12:45:00+05:30,23941.85,151.85,timeout,-247.16,36
