day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-01-28,2026-01-28 09:45:00+05:30,bullish,CE,25300,25292.7,182.03,2337.58,,538.89,2026-01-28 09:50:00+05:30,25288.4,174.67,stop,-551.9,1
2026-01-29,2026-01-29 10:10:00+05:30,bearish,PE,25200,25211.65,151.53,1167.66,,254.03,2026-01-29 10:15:00+05:30,25210.85,143.72,stop,-585.85,1
2026-01-30,2026-01-30 10:05:00+05:30,bearish,PE,25300,25282.65,165.92,1205.34,,259.86,2026-01-30 10:10:00+05:30,25314.3,150.28,stop,-1173.12,1
2026-02-01,2026-02-01 09:45:00+05:30,bullish,CE,25350,25334.7,178.25,2283.58,,526.33,2026-02-01 09:50:00+05:30,25319.6,144.46,stop,-2534.06,1
2026-02-02,2026-02-02 09:45:00+05:30,bearish,PE,24900,24893.7,158.27,1166.42,,252.04,2026-02-02 09:50:00+05:30,24936.15,135.9,stop,-1677.71,1
2026-02-03,2026-02-03 09:45:00+05:30,bullish,CE,25800,25776.4,177.3,2287.24,,527.48,2026-02-03 09:50:00+05:30,25732.15,155.66,stop,-1623.2,1
2026-02-04,2026-02-04 09:45:00+05:30,bullish,CE,25800,25786.45,182.46,2293.51,,527.76,2026-02-04 09:50:00+05:30,25762.65,163.24,stop,-1441.41,1
2026-02-05,2026-02-05 09:45:00+05:30,bearish,PE,25650,25631.65,168.75,1208.93,,260.05,2026-02-05 09:50:00+05:30,25624.6,161.31,stop,-557.78,1
2026-02-06,2026-02-06 09:45:00+05:30,bearish,PE,25550,25569.0,150.56,1156.37,,251.45,2026-02-06 09:50:00+05:30,25554.25,149.71,stop,-64.12,1
2026-02-09,2026-02-09 09:45:00+05:30,bullish,CE,25800,25812.0,195.96,2281.46,,521.37,2026-02-09 09:50:00+05:30,25812.8,193.03,stop,-220.1,1
2026-02-10,2026-02-10 09:45:00+05:30,bullish,CE,25950,25948.2,189.7,2258.31,,517.15,2026-02-10 09:50:00+05:30,25932.6,180.16,stop,-715.45,1
2026-02-11,2026-02-11 10:35:00+05:30,bullish,CE,26000,25977.4,178.71,2213.37,,508.66,2026-02-11 10:40:00+05:30,25969.05,173.23,stop,-410.67,1
2026-02-12,2026-02-12 09:45:00+05:30,bearish,PE,25850,25854.7,159.0,1171.93,,253.23,2026-02-12 09:50:00+05:30,25860.4,153.77,stop,-392.24,1
2026-02-13,2026-02-13 09:45:00+05:30,bearish,PE,25550,25544.25,162.06,1168.43,,251.59,2026-02-13 09:50:00+05:30,25553.65,152.2,stop,-739.04,1
2026-02-16,2026-02-16 09:45:00+05:30,bearish,PE,25450,25455.05,156.35,1142.59,,246.56,2026-02-16 09:50:00+05:30,25466.6,150.99,stop,-402.04,1
2026-02-17,2026-02-17 09:45:00+05:30,bullish,CE,25650,25641.55,184.0,2139.03,,488.76,2026-02-17 09:50:00+05:30,25662.3,179.57,stop,-332.42,1
2026-02-18,2026-02-18 09:45:00+05:30,bullish,CE,25700,25720.45,199.83,2182.82,,495.75,2026-02-18 09:50:00+05:30,25702.35,188.41,stop,-856.34,1
2026-02-19,2026-02-19 09:45:00+05:30,bullish,CE,25800,25809.25,194.48,2159.28,,491.2,2026-02-19 09:50:00+05:30,25782.65,180.44,stop,-1053.15,1
2026-02-20,2026-02-20 09:45:00+05:30,bearish,PE,25500,25507.9,155.33,1130.21,,243.72,2026-02-20 09:50:00+05:30,25504.05,147.77,stop,-567.05,1
2026-02-23,2026-02-23 09:45:00+05:30,bullish,CE,25750,25740.6,184.24,2074.6,,472.59,2026-02-23 09:50:00+05:30,25717.9,169.22,stop,-1126.94,1
2026-02-24,2026-02-24 09:45:00+05:30,bearish,PE,25550,25525.35,171.21,1161.44,,247.56,2026-02-24 09:50:00+05:30,25511.6,170.7,stop,-38.13,1
2026-02-25,2026-02-25 09:45:00+05:30,bullish,CE,25600,25575.95,175.61,2013.11,,459.38,2026-02-25 09:50:00+05:30,25574.0,167.16,stop,-633.81,1
2026-02-26,2026-02-26 10:05:00+05:30,bullish,CE,25550,25563.3,194.61,2062.24,,466.91,2026-02-26 10:10:00+05:30,25558.25,190.75,stop,-288.89,1
2026-02-27,2026-02-27 09:45:00+05:30,bearish,PE,25350,25347.35,159.34,1115.99,,239.16,2026-02-27 09:50:00+05:30,25336.05,156.31,stop,-226.89,1
2026-03-02,2026-03-02 09:45:00+05:30,bearish,PE,24950,24953.2,154.09,1082.05,,231.99,2026-03-02 09:50:00+05:30,24884.15,155.04,stop,70.82,1
2026-03-04,2026-03-04 09:45:00+05:30,bearish,PE,24350,24365.25,144.79,1034.96,,222.54,2026-03-04 09:50:00+05:30,24359.1,141.69,stop,-232.08,1
2026-03-05,2026-03-05 09:45:00+05:30,bullish,CE,24600,24604.95,183.36,1890.45,,426.77,2026-03-05 09:50:00+05:30,24648.9,182.38,stop,-74.07,1
2026-03-06,2026-03-06 09:45:00+05:30,bullish,CE,24650,24657.9,185.31,1887.65,,425.58,2026-03-06 09:50:00+05:30,24643.85,175.25,stop,-754.41,1
2026-03-09,2026-03-09 09:45:00+05:30,bearish,PE,23750,23761.75,142.65,997.76,,213.78,2026-03-09 09:50:00+05:30,23776.5,132.51,stop,-760.42,1
2026-03-10,2026-03-10 09:45:00+05:30,bullish,CE,24150,24136.65,170.44,1765.93,,398.87,2026-03-10 09:50:00+05:30,24131.4,162.83,stop,-571.17,1
2026-03-11,2026-03-11 09:45:00+05:30,bullish,CE,24200,24198.8,177.16,1778.93,,400.44,2026-03-11 09:50:00+05:30,24148.55,150.8,stop,-1976.65,1
2026-03-12,2026-03-12 09:45:00+05:30,bearish,PE,23600,23623.15,136.55,967.64,,207.77,2026-03-12 09:50:00+05:30,23656.75,121.92,stop,-1097.2,1
2026-03-13,2026-03-13 09:45:00+05:30,bearish,PE,23400,23397.4,147.15,987.9,,210.19,2026-03-13 09:50:00+05:30,23362.65,146.06,stop,-82.44,1
2026-03-16,2026-03-16 09:45:00+05:30,bearish,PE,23250,23241.0,149.27,979.77,,207.62,2026-03-16 09:50:00+05:30,23226.5,139.84,stop,-707.1,1
2026-03-17,2026-03-17 09:45:00+05:30,bullish,CE,23500,23484.5,164.56,1633.25,,367.17,2026-03-17 09:50:00+05:30,23483.0,150.46,stop,-1057.46,1
2026-03-18,2026-03-18 09:45:00+05:30,bullish,CE,23750,23732.2,165.22,1635.13,,367.48,2026-03-18 09:50:00+05:30,23724.35,159.42,stop,-434.85,1
2026-03-19,2026-03-19 09:45:00+05:30,bearish,PE,23250,23238.3,150.57,972.93,,205.59,2026-03-19 09:50:00+05:30,23239.25,138.63,stop,-895.56,1
2026-03-20,2026-03-20 09:45:00+05:30,bearish,PE,23250,23246.9,146.46,958.42,,202.99,2026-03-20 09:50:00+05:30,23244.3,137.24,stop,-691.4,1
2026-03-23,2026-03-23 09:45:00+05:30,bearish,PE,22650,22663.0,135.22,902.9,,191.92,2026-03-23 09:50:00+05:30,22629.05,134.25,stop,-72.83,1
2026-03-24,2026-03-24 09:45:00+05:30,bullish,CE,22700,22718.9,176.96,1556.16,,344.8,2026-03-24 09:50:00+05:30,22730.7,167.36,stop,-720.32,1
2026-03-25,2026-03-25 09:45:00+05:30,bullish,CE,23250,23270.0,181.6,1583.03,,350.36,2026-03-25 09:50:00+05:30,23289.8,177.59,stop,-300.68,1
2026-03-27,2026-03-27 09:45:00+05:30,bearish,PE,23050,23039.25,148.86,934.33,,196.37,2026-03-27 09:50:00+05:30,23015.35,148.42,stop,-33.4,1
2026-03-30,2026-03-30 09:45:00+05:30,bearish,PE,22650,22630.45,150.65,918.31,,191.91,2026-03-30 09:50:00+05:30,22618.5,134.14,stop,-1238.39,1
2026-04-01,2026-04-01 09:45:00+05:30,bullish,CE,22900,22897.55,166.95,1436.93,,317.5,2026-04-01 09:50:00+05:30,22915.15,166.19,stop,-57.07,1
2026-04-02,2026-04-02 09:45:00+05:30,bearish,PE,22250,22235.65,145.62,883.95,,184.58,2026-04-02 09:50:00+05:30,22221.15,142.66,stop,-221.57,1
2026-04-06,2026-04-06 09:45:00+05:30,bullish,CE,22600,22589.9,160.74,1344.34,,295.9,2026-04-06 09:50:00+05:30,22573.0,149.5,stop,-843.01,1
