day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-02-01,2026-02-01 12:35:00+05:30,bullish,CE,25000,25009.95,187.1,367.6,24934.9,1000.98,2026-02-01 13:35:00+05:30,25068.3,219.45,timeout,2426.43,12
2026-02-02,2026-02-02 11:10:00+05:30,bullish,CE,24750,24728.45,169.72,235.32,24654.3,966.72,2026-02-02 11:35:00+05:30,24845.95,235.32,target,4920.0,5
2026-02-19,2026-02-19 12:15:00+05:30,bullish,CE,25600,25611.4,192.47,267.37,25534.6,922.57,2026-02-19 13:15:00+05:30,25607.0,189.42,timeout,-228.71,12
2026-02-25,2026-02-25 12:50:00+05:30,bullish,CE,25500,25480.1,174.91,244.81,25403.7,864.89,2026-02-25 13:50:00+05:30,25473.2,170.73,timeout,-313.43,12
2026-03-02,2026-03-02 12:20:00+05:30,bullish,CE,24750,24728.55,169.0,242.5,24654.4,809.4,2026-03-02 13:20:00+05:30,24696.0,152.3,timeout,-1252.56,12
2026-03-09,2026-03-09 11:40:00+05:30,bearish,PE,23900,23897.65,149.28,186.88,23969.3,406.56,2026-03-09 12:40:00+05:30,23873.45,160.56,timeout,846.12,12
2026-03-11,2026-03-11 11:25:00+05:30,bullish,CE,24050,24033.55,167.05,226.95,23961.4,737.63,2026-03-11 12:25:00+05:30,24011.9,155.54,timeout,-863.52,12
2026-03-13,2026-03-13 12:45:00+05:30,bullish,CE,23250,23240.9,164.19,230.79,23171.2,705.43,2026-03-13 13:15:00+05:30,23171.6,130.13,stop,-2554.41,6
2026-03-16,2026-03-16 10:35:00+05:30,bullish,CE,23050,23057.7,172.94,234.94,22988.5,692.64,2026-03-16 10:50:00+05:30,22986.25,138.06,stop,-2616.05,3
2026-03-20,2026-03-20 12:25:00+05:30,bullish,CE,23150,23155.15,171.18,235.58,23085.7,670.62,2026-03-20 13:25:00+05:30,23257.7,235.58,target,4830.0,12
2026-03-24,2026-03-24 12:25:00+05:30,bearish,PE,22850,22844.45,143.96,184.76,22913.0,363.87,2026-03-24 12:30:00+05:30,22922.8,113.67,stop,-2271.78,1
2026-03-25,2026-03-25 11:15:00+05:30,bearish,PE,23400,23417.85,137.02,183.12,23488.1,361.79,2026-03-25 12:15:00+05:30,23441.4,126.18,timeout,-812.79,12
2026-04-02,2026-04-02 12:45:00+05:30,bearish,PE,22350,22350.9,137.67,180.87,22418.0,335.66,2026-04-02 13:20:00+05:30,22439.65,108.25,stop,-2206.42,7
2026-04-06,2026-04-06 13:00:00+05:30,bearish,PE,22750,22767.4,132.42,179.42,22835.7,326.46,2026-04-06 13:10:00+05:30,22860.7,103.81,stop,-2145.86,2
2026-04-13,2026-04-13 12:30:00+05:30,bearish,PE,23850,23825.6,159.26,204.46,23897.1,341.52,2026-04-13 13:30:00+05:30,23846.0,148.91,timeout,-776.39,12
2026-04-16,2026-04-16 12:05:00+05:30,bullish,CE,24150,24171.1,187.31,263.21,24098.6,533.98,2026-04-16 13:05:00+05:30,24122.9,161.31,timeout,-1950.45,12
2026-05-13,2026-05-13 13:00:00+05:30,bearish,PE,23550,23559.35,141.04,195.74,23630.0,217.09,2026-05-13 14:00:00+05:30,23490.15,174.94,timeout,2542.68,12
2026-05-14,2026-05-14 11:50:00+05:30,bearish,PE,23650,23673.75,135.64,201.14,23744.8,207.36,2026-05-14 12:50:00+05:30,23684.95,130.24,timeout,-405.2,12
2026-05-18,2026-05-18 11:40:00+05:30,bearish,PE,23550,23534.25,153.54,206.74,23604.9,200.28,2026-05-18 12:35:00+05:30,23604.4,121.24,stop,-2422.39,11
2026-05-21,2026-05-21 12:40:00+05:30,bullish,CE,23650,23640.1,166.73,218.53,23569.2,219.26,2026-05-21 13:40:00+05:30,23681.35,188.36,timeout,1622.64,12
