day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-01-27,2026-01-27 09:50:00+05:30,bearish,PE,25150,25137.25,162.88,195.18,25212.7,489.72,2026-01-27 10:40:00+05:30,25030.0,195.18,target,2422.5,10
2026-01-29,2026-01-29 13:10:00+05:30,bearish,PE,25350,25353.65,154.72,191.12,25429.7,485.22,2026-01-29 13:45:00+05:30,25419.5,121.55,stop,-2487.03,7
2026-02-01,2026-02-01 12:35:00+05:30,bullish,CE,25000,25009.95,187.1,367.6,24934.9,1000.98,2026-02-01 13:35:00+05:30,25068.3,219.45,timeout,2426.43,12
2026-02-02,2026-02-02 11:10:00+05:30,bullish,CE,24750,24728.45,169.72,235.32,24654.3,966.72,2026-02-02 11:35:00+05:30,24845.95,235.32,target,4920.0,5
2026-02-19,2026-02-19 11:55:00+05:30,bullish,CE,25650,25658.7,191.61,244.91,25581.7,922.81,2026-02-19 12:40:00+05:30,25582.55,152.47,stop,-2935.33,9
2026-02-20,2026-02-20 10:45:00+05:30,bearish,PE,25600,25588.75,164.51,196.31,25665.5,466.31,2026-02-20 11:45:00+05:30,25592.4,162.27,timeout,-167.93,12
2026-02-24,2026-02-24 12:50:00+05:30,bullish,CE,25400,25401.7,185.43,239.33,25325.5,880.18,2026-02-24 13:50:00+05:30,25374.65,170.74,timeout,-1101.77,12
2026-02-25,2026-02-25 12:50:00+05:30,bullish,CE,25500,25480.1,174.91,244.81,25403.7,864.89,2026-02-25 13:50:00+05:30,25473.2,170.73,timeout,-313.43,12
2026-03-02,2026-03-02 12:20:00+05:30,bullish,CE,24750,24728.55,169.0,242.5,24654.4,809.4,2026-03-02 13:20:00+05:30,24696.0,152.3,timeout,-1252.56,12
2026-03-09,2026-03-09 11:40:00+05:30,bearish,PE,23900,23897.65,149.28,186.88,23969.3,406.56,2026-03-09 12:40:00+05:30,23873.45,160.56,timeout,846.12,12
2026-03-11,2026-03-11 11:25:00+05:30,bullish,CE,24050,24033.55,167.05,226.95,23961.4,737.63,2026-03-11 12:25:00+05:30,24011.9,155.54,timeout,-863.52,12
2026-03-12,2026-03-12 11:05:00+05:30,bearish,PE,23750,23738.4,153.03,186.83,23809.6,402.52,2026-03-12 11:20:00+05:30,23703.5,186.83,target,2535.0,3
2026-03-13,2026-03-13 12:25:00+05:30,bullish,CE,23300,23278.7,158.49,209.59,23208.9,699.95,2026-03-13 12:40:00+05:30,23212.4,125.39,stop,-2482.47,3
2026-03-16,2026-03-16 10:35:00+05:30,bullish,CE,23050,23057.7,172.94,234.94,22988.5,692.64,2026-03-16 10:50:00+05:30,22986.25,138.06,stop,-2616.05,3
2026-03-17,2026-03-17 11:35:00+05:30,bullish,CE,23400,23390.45,165.77,211.87,23320.3,687.01,2026-03-17 12:35:00+05:30,23424.5,183.42,timeout,1323.93,12
2026-03-20,2026-03-20 12:25:00+05:30,bullish,CE,23150,23155.15,171.18,235.58,23085.7,670.62,2026-03-20 13:25:00+05:30,23257.7,235.58,target,4830.0,12
2026-03-23,2026-03-23 10:35:00+05:30,bullish,CE,22550,22557.95,169.41,214.41,22490.3,638.28,2026-03-23 11:35:00+05:30,22539.6,159.13,timeout,-771.59,12
2026-03-24,2026-03-24 10:40:00+05:30,bullish,CE,22650,22667.9,175.5,219.9,22599.9,641.08,2026-03-24 11:20:00+05:30,22703.15,219.9,target,3330.0,8
2026-03-25,2026-03-25 10:45:00+05:30,bearish,PE,23350,23360.55,140.26,175.56,23430.6,363.81,2026-03-25 11:05:00+05:30,23419.35,110.32,stop,-2245.29,4
2026-03-30,2026-03-30 11:00:00+05:30,bullish,CE,22500,22504.3,166.84,209.14,22436.8,594.04,2026-03-30 12:00:00+05:30,22549.35,191.35,timeout,1837.72,12
2026-04-01,2026-04-01 11:05:00+05:30,bullish,CE,22750,22770.55,177.43,222.83,22702.2,597.93,2026-04-01 12:05:00+05:30,22839.15,216.98,timeout,2966.52,12
2026-04-02,2026-04-02 12:45:00+05:30,bearish,PE,22350,22350.9,137.67,180.87,22418.0,335.66,2026-04-02 13:20:00+05:30,22439.65,108.25,stop,-2206.42,7
2026-04-06,2026-04-06 13:00:00+05:30,bearish,PE,22750,22767.4,132.42,179.42,22835.7,326.46,2026-04-06 13:10:00+05:30,22860.7,103.81,stop,-2145.86,2
2026-04-13,2026-04-13 10:55:00+05:30,bearish,PE,23750,23740.0,152.34,182.74,23811.2,334.55,2026-04-13 11:55:00+05:30,23785.65,120.16,stop,-2413.15,12
2026-04-16,2026-04-16 12:05:00+05:30,bullish,CE,24150,24171.1,187.31,263.21,24098.6,533.98,2026-04-16 13:05:00+05:30,24122.9,161.31,timeout,-1950.45,12
2026-04-24,2026-04-24 13:15:00+05:30,bullish,CE,23850,23869.35,183.42,225.62,23797.7,469.41,2026-04-24 14:15:00+05:30,23861.5,178.51,timeout,-368.44,12
2026-04-28,2026-04-28 11:30:00+05:30,bullish,CE,24050,24059.25,180.51,222.41,23987.1,438.26,2026-04-28 12:30:00+05:30,24004.25,151.75,timeout,-2156.78,12
2026-04-29,2026-04-29 10:35:00+05:30,bearish,PE,24250,24268.7,142.21,179.01,24341.5,280.54,2026-04-29 11:35:00+05:30,24276.6,138.2,timeout,-300.83,12
2026-05-04,2026-05-04 12:35:00+05:30,bullish,CE,24150,24125.4,162.89,206.89,24053.0,374.44,2026-05-04 13:25:00+05:30,24024.7,128.38,stop,-2588.21,10
2026-05-06,2026-05-06 12:55:00+05:30,bullish,CE,24000,24023.1,186.79,233.29,23951.0,380.76,2026-05-06 13:35:00+05:30,24103.55,233.29,target,3487.5,8
2026-05-07,2026-05-07 12:45:00+05:30,bearish,PE,24450,24442.8,154.49,195.69,24516.1,261.04,2026-05-07 13:15:00+05:30,24350.7,195.69,target,3090.0,6
2026-05-12,2026-05-12 12:40:00+05:30,bullish,CE,23550,23526.15,158.86,203.26,23455.6,298.53,2026-05-12 13:40:00+05:30,23506.8,148.65,timeout,-765.59,12
2026-05-13,2026-05-13 10:25:00+05:30,bearish,PE,23450,23452.45,144.79,176.29,23522.8,219.49,2026-05-13 10:55:00+05:30,23374.8,176.29,target,2362.5,6
2026-05-14,2026-05-14 11:50:00+05:30,bearish,PE,23650,23673.75,135.64,201.14,23744.8,207.36,2026-05-14 12:50:00+05:30,23684.95,130.24,timeout,-405.2,12
2026-05-18,2026-05-18 11:10:00+05:30,bearish,PE,23450,23470.1,136.35,169.55,23540.5,184.9,2026-05-18 11:35:00+05:30,23560.65,106.88,stop,-2209.71,5
2026-05-20,2026-05-20 11:50:00+05:30,bearish,PE,23650,23626.9,157.69,198.69,23697.8,191.59,2026-05-20 12:50:00+05:30,23605.95,167.8,timeout,758.86,12
2026-05-21,2026-05-21 12:30:00+05:30,bullish,CE,23650,23669.6,182.59,222.69,23598.6,233.97,2026-05-21 13:00:00+05:30,23620.0,145.84,stop,-2756.29,6
